backscatter,date
-11.052343932585645,2021-01-01
-11.371326679976118,2021-02-01
-11.293048052891624,2021-03-01
-11.942019538380155,2021-04-01
-12.288487110890529,2021-05-01
-12.086375914757529,2021-06-01
-12.488647856230248,2021-07-01
-12.677448467873269,2021-08-01
-12.50611880576186,2021-09-01
-12.230971387916657,2021-10-01
-11.750567433146935,2021-11-01
-11.373639329781552,2021-12-01
